iter	RMSE
275	1.014458588
276	1.012999589
277	1.011858523
278	1.011586643
279	1.011409537
280	1.011153762
281	1.010333851
282	1.009143418
283	1.008906019
284	1.008770391
285	1.008597101
286	1.007489612
287	1.007386164
288	1.007251567
289	1.006138885
290	1.005731136
291	1.005573919
292	1.00518118
293	1.00506897
294	1.00481553
295	1.004656345
296	1.00384046
297	1.003668684
298	1.002948938
299	1.002726822
300	1.00166383
301	1.001530257
302	1.001333184
303	1.00109759
304	1.000327779
305	1.000090719
306	0.9992274829
307	0.9991210568
308	0.9980597045
309	0.9979025213
310	0.9978128755
311	0.9974066387
312	0.9970097684
313	0.9966573563
314	0.9965655749
315	0.9958042081
316	0.9952282908
317	0.9951065973
318	0.9943507147
319	0.9941339732
320	0.9940248169
321	0.993872356
322	0.9937559619
323	0.9922822898
324	0.9921728847
325	0.9920167716
326	0.9914303972
327	0.9905202992
328	0.9902615096
329	0.9898107781
330	0.9896601955
331	0.9888623288
332	0.9887452942
333	0.9885330423
334	0.9884556265
335	0.988247511
336	0.9881761129
337	0.9873369462
338	0.9870765778
339	0.9867899603
340	0.9866967033
341	0.9865632387
342	0.9863928906
343	0.9856847143
344	0.9855805834
345	0.984848919
346	0.9839531717
347	0.9836475675
348	0.9831805879
349	0.9830281243
350	0.9829044729
351	0.9827385543
352	0.9823355131
353	0.9818346071
354	0.9814345156
355	0.9808041169
356	0.9803688382
357	0.9801638575
358	0.9799885351
359	0.9797642302
360	0.9795782326
361	0.979507306
362	0.9794007283
363	0.9790181481
364	0.9787683797
365	0.9786471347
366	0.978306262
367	0.9776455012
368	0.9770406774
369	0.9769150849
370	0.976711857
371	0.9765251509
372	0.9763707071
373	0.9760595302
374	0.9753601293
375	0.9752205562
376	0.9748324101
377	0.9747168446
378	0.9745921284
379	0.9744981539
380	0.9741631181
381	0.973857896
382	0.9737121686
383	0.9733919925
384	0.9733037961
385	0.9729891614
386	0.9727968533
387	0.9723417727
388	0.9719274561
389	0.9714362555
390	0.9713393599
391	0.9711979286
392	0.9710791522
393	0.9709683335
394	0.9708654614
395	0.97012427
396	0.9699341585
397	0.9698548621
398	0.9692316705
399	0.9688355661
400	0.9686896832
401	0.9684665812
402	0.9683704848
403	0.9682349024
404	0.9676776229
405	0.9675167777
406	0.9673823806
407	0.9672092414
408	0.9670986521
409	0.9667028541
410	0.9665831793
411	0.9662896063
412	0.9660545889
413	0.9656994658
414	0.965634514
415	0.9654774934
416	0.9653177874
417	0.9652464353
418	0.9646070201
419	0.9645150607
420	0.9641895003
421	0.9639525185
422	0.9638522769
423	0.9636580446
424	0.9631820712
425	0.9631252154
426	0.9629226222
427	0.9625649729
428	0.9625208612
429	0.962099965
430	0.9619612812
431	0.9617240212
432	0.9615730538
433	0.9614603854
434	0.9610045314
435	0.9608648241
436	0.9606726827
437	0.9605831768
438	0.9601346148
439	0.9600068208
440	0.9598469682
441	0.9594598816
442	0.9592992932
443	0.9591705202
444	0.9589261734
445	0.9588441391
446	0.9586218278
447	0.9584733707
448	0.9582472567
449	0.9581327941
450	0.9580011068
451	0.9579264493
452	0.9573464283
453	0.9571595507
454	0.9570139222
455	0.9566633703
456	0.9554596883
457	0.955251585
458	0.9549962739
459	0.9548264288
460	0.9547109681
461	0.9544979032
462	0.9542576617
463	0.9541358364
464	0.9540796094
465	0.953953127
466	0.9535251773
467	0.9533656842
468	0.9532264617
469	0.9527891846
470	0.9521800077
471	0.9520712022
472	0.9516345147
473	0.9515210949
474	0.9513800591
475	0.9512479574
476	0.9509651285
477	0.9505168188
478	0.9504184656
479	0.9502939643
480	0.9502034789
481	0.9498560523
482	0.9493592285
483	0.9492760962
484	0.9491815285
485	0.9484980726
486	0.9483739665
487	0.9481846976
488	0.9478472195
489	0.9475245709
490	0.9474379053
491	0.947136394
492	0.9469973581
493	0.9466284743
494	0.946581849
495	0.9464071736
496	0.9461632752
497	0.9460546902
498	0.9456614913
499	0.9456162441
500	0.945331548
501	0.9452841195
502	0.9452082607
503	0.9449571044
504	0.9448771669
505	0.9447196892
506	0.9443484538
507	0.9441449794
508	0.9439308821
509	0.9438151287
510	0.9436305033
511	0.9434447115
512	0.9429918772
513	0.9428715185
514	0.9427052441
515	0.9425617891
516	0.9423992438
517	0.9422126105
518	0.9419632982
519	0.9416294278
520	0.9415001203
521	0.9412122684
522	0.9409715993
523	0.9408825598
524	0.9406122134
525	0.9402607517
526	0.940069055
527	0.9399876397
528	0.9397989214
529	0.939727495
530	0.9395572785
531	0.9394747539
532	0.9393825112
533	0.9392440032
534	0.9391153878
535	0.9390217726
536	0.9387842188
537	0.9386644983
538	0.938616958
539	0.9385205314
540	0.9383764
541	0.9382536682
542	0.9379826709
543	0.9377378537
544	0.9375498937
545	0.9374633187
546	0.9371445189
547	0.9367993756
548	0.9365830147
549	0.9362769614
550	0.9361391414
551	0.9360296611
552	0.9358252784
553	0.9357518459
554	0.9356027425
555	0.9354056125
556	0.9353135473
557	0.9350795372
558	0.9348518127
559	0.9347503615
560	0.9345863707
561	0.9344747579
562	0.9344301244
563	0.9340923369
564	0.9337858097
565	0.9335434262
566	0.9334372248
567	0.9332262193
568	0.9331134793
569	0.9330334411
570	0.9329190795
571	0.9328208929
572	0.9326171505
573	0.9323882281
574	0.9321509013
575	0.932049435
576	0.9320086739
577	0.9318375097
578	0.9316141721
579	0.9315120178
580	0.9313664453
581	0.9311178009
582	0.9309340995
583	0.9307300894
584	0.9304413684
585	0.9303455793
586	0.9298596655
587	0.9296804327
588	0.9295870737
589	0.9293735262
590	0.9291982763
591	0.9290519964
592	0.9287117912
593	0.9285021035
594	0.9278934107
595	0.9277803033
596	0.9276483533
597	0.927489836
598	0.9273569273
599	0.9272004904
600	0.9271425062
601	0.9269554292
602	0.9268848603
603	0.9266522103
604	0.9264529887
605	0.9262135488
606	0.9261452273
607	0.9258353209
608	0.9256630518
609	0.9255683052
610	0.9254312396
611	0.9252597459
612	0.9251117771
613	0.9248961518
614	0.9247306607
615	0.9245751461
616	0.9244007958
617	0.9243063168
618	0.9239851919
619	0.9238194935
620	0.9236808849
621	0.9234387458
622	0.9232823357
623	0.9230881451
624	0.9228914937
625	0.9227639066
626	0.9225384936
627	0.9224410911
628	0.9223445689
629	0.9221636196
630	0.9219758497
631	0.9216873509
632	0.9213465461
633	0.9212702393
634	0.9211377466
635	0.9209460493
636	0.9207870577
637	0.9206120611
638	0.9203780927
639	0.9202440852
640	0.9201734746
641	0.9199328934
642	0.9198505258
643	0.9197609329
644	0.9195018303
645	0.9194444502
646	0.9192554313
647	0.9191690814
648	0.9190015494
649	0.9188530406
650	0.9186254072
651	0.9183748785
652	0.9183048288
653	0.9182172445
654	0.9180218634
655	0.9177967238
656	0.917754523
657	0.9176412543
658	0.9175043489
659	0.9174280142
660	0.9173061063
661	0.9170075295
662	0.9168702265
663	0.9168331127
664	0.916659654
665	0.9165196454
666	0.9163127124
667	0.9160807544
668	0.9158801364
669	0.9155116888
670	0.9154617032
671	0.91510804
672	0.9150468454
673	0.9148250377
674	0.9146868132
675	0.914564503
676	0.9145009719
677	0.9143643321
678	0.9143111532
679	0.914095374
680	0.913972013
681	0.9138041715
682	0.9137177164
683	0.9135898274
684	0.913426481
685	0.9132991517
686	0.9131806775
687	0.9126857545
688	0.9125074901
689	0.9124047187
690	0.9122047758
691	0.9121019151
692	0.9119206715
693	0.9116352737
694	0.9114208827
695	0.911252352
696	0.9111521579
697	0.91101973
698	0.9108883514
699	0.9107739682
700	0.910596926
701	0.9103635992
702	0.9102084558
703	0.9101322527
704	0.909965837
705	0.9099220332
706	0.9098398083
707	0.9097481944
708	0.9096327217
709	0.9094148918
710	0.9093410547
711	0.9092745929
712	0.9091277972
713	0.9089718969
714	0.9089065929
715	0.9088493443
716	0.9087362242
717	0.9086438114
718	0.9084427227
719	0.9082656458
720	0.9080477874
721	0.9079742206
722	0.907741155
723	0.9075509855
724	0.9073674347
725	0.907186362
726	0.9071001337
727	0.9069636508
728	0.9067928084
729	0.9066165981
730	0.9065044294
731	0.9063659225
732	0.906204604
733	0.9060442613
734	0.9057226855
735	0.9055595503
736	0.9053754289
737	0.9052756632
738	0.9051351111
739	0.9049695141
740	0.9049034025
741	0.9048544643
742	0.9047447705
743	0.904662721
744	0.9045948461
745	0.904392966
746	0.9042625276
747	0.9040736107
748	0.9039814096
749	0.9038088316
750	0.9035316762
751	0.9033705684
752	0.9032345095
753	0.9031752795
754	0.9030472643
755	0.9029717744
756	0.9027282249
757	0.902568952
758	0.9025001456
759	0.9024484899
760	0.9023668474
761	0.9021218419
762	0.9020232202
763	0.9019169733
764	0.9017895182
765	0.9016061032
766	0.9015271329
767	0.9014237517
768	0.901375574
769	0.9012808371
770	0.9012198661
771	0.9011497944
772	0.9010572331
773	0.9009757864
774	0.9008562696
775	0.9007382013
776	0.90055013
777	0.9004370853
778	0.9002643601
779	0.9001605521
780	0.8999854595
781	0.8999323994
782	0.8997242549
783	0.8996260824
784	0.8995671441
785	0.899510022
786	0.8992860037
787	0.899228668
788	0.8990303261
789	0.8989476927
790	0.8988231972
791	0.8986534361
792	0.8985571548
793	0.8983228523
794	0.8980947775
795	0.8979428884
796	0.8977632638
797	0.8976409012
798	0.8975787397
799	0.8974650411
800	0.8973260207
801	0.8972386315
802	0.8971595399
803	0.897023307
804	0.8969609852
805	0.8967937106
806	0.8966956712
807	0.8965635821
808	0.8964372673
809	0.8964035655
810	0.8962680095
811	0.8961015709
812	0.8958964145
813	0.8956759937
814	0.8956010069
815	0.8954659626
816	0.8953055814
817	0.8951914266
818	0.895097324
819	0.8949073434
820	0.8947332349
821	0.8946530255
822	0.8945274867
823	0.8944772273
824	0.8944266829
825	0.8942471159
826	0.8941756515
827	0.8941198099
828	0.8940588278
829	0.894005304
830	0.8939619959
831	0.8938462998
832	0.8936651498
833	0.893493505
834	0.893454528
835	0.8932038661
836	0.8930401911
837	0.8929137342
838	0.892745279
839	0.8925700964
840	0.8923931813
841	0.8922429056
842	0.8921261951
843	0.8919902217
844	0.891828694
845	0.8917869799
846	0.8916763952
847	0.8915737655
848	0.8914480823
849	0.8912975992
850	0.8912414346
851	0.8911944105
852	0.8911604495
853	0.8910411701
854	0.890862528
855	0.8907861192
856	0.8906316296
857	0.8905835085
858	0.8903754821
859	0.8902189461
860	0.890054053
861	0.8899180162
862	0.8897485227
863	0.8896909756
864	0.8895806608
865	0.8893157583
866	0.8889769072
867	0.8887868502
868	0.8886474998
869	0.8884172886
870	0.8882275608
871	0.8880945563
872	0.8878875253
873	0.8877263301
874	0.8876830476
875	0.8875511205
876	0.8875178596
877	0.8874033127
878	0.8873513202
879	0.8872315849
880	0.887188203
881	0.8870136635
882	0.8869615712
883	0.8867607105
884	0.8865950128
885	0.8864603474
886	0.8863751886
887	0.8863097729
888	0.886218343
889	0.8861719286
890	0.886113112
891	0.8859872033
892	0.8858277673
893	0.8857380224
894	0.8855343603
895	0.8854525587
896	0.8853949026
897	0.8852336087
898	0.8851232872
899	0.8849889062
900	0.8849449989
901	0.8848297262
902	0.8847359033
903	0.8845685902
904	0.8844599094
905	0.8843737113
906	0.8843214752
907	0.8842405311
908	0.8840436335
909	0.8839297567
910	0.8837770548
911	0.8835945173
912	0.883374909
913	0.8833220954
914	0.8831553791
915	0.8830454243
916	0.882994952
917	0.8828743575
918	0.8827768756
919	0.8826627586
920	0.8824892128
921	0.8823535942
922	0.8822596923
923	0.8821499988
924	0.8819723694
925	0.8819310532
926	0.8818158295
927	0.8817464962
928	0.8815951518
929	0.8814612442
930	0.8813065253
931	0.8811558352
932	0.8810329018
933	0.8809305564
934	0.8808321307
935	0.8807331608
936	0.8806736735
937	0.8805789201
938	0.8804471963
939	0.8802712693
940	0.8801381631
941	0.8800270477
942	0.8798803162
943	0.8797652369
944	0.879543832
945	0.8794728107
946	0.8794276916
947	0.8792248431
948	0.879083211
949	0.8790043966
950	0.8789488151
951	0.8787561448
952	0.8785765775
953	0.8784693536
954	0.8783848542
955	0.8783193822
956	0.8781564681
957	0.8781042535
958	0.8780343982
959	0.8778826204
960	0.8777544536
961	0.8776941643
962	0.8776058631
963	0.8775772507
964	0.8773974803
965	0.8773057577
966	0.8772297459
967	0.8771171449
968	0.8770147672
969	0.8769625055
970	0.8769195508
971	0.8767898718
972	0.8764972405
973	0.8763908669
974	0.8762655771
975	0.8762293142
976	0.876149952
977	0.8761011101
978	0.8760069901
979	0.8759551138
980	0.8758627567
981	0.87574567
982	0.8756748206
983	0.8755693691
984	0.875517109
985	0.8754013735
986	0.8752648181
987	0.8751761168
988	0.8750366332
989	0.8749810136
990	0.8749604902
991	0.8749137842
992	0.8748260249
993	0.8747529477
994	0.8746147195
995	0.8745909505
996	0.8744524043
997	0.8743521966
998	0.8742630146
999	0.8740890473
