iter	Passed	Remaining
481	700	752
482	701	750
483	703	749
484	704	748
485	706	746
486	707	745
487	708	743
488	710	742
489	711	740
490	713	739
491	714	737
492	716	736
493	717	734
494	719	734
495	721	732
496	722	731
497	723	729
498	725	728
499	726	726
500	728	725
501	730	724
502	731	722
503	732	721
504	734	719
505	736	718
506	737	717
507	738	715
508	740	713
509	741	712
510	743	711
511	744	709
512	746	708
513	747	706
514	748	705
515	750	704
516	752	702
517	753	701
518	754	699
519	756	698
520	757	696
521	759	695
522	761	694
523	763	693
524	764	691
525	766	690
526	768	689
527	769	688
528	771	686
529	772	685
530	773	683
531	775	682
532	777	680
533	780	681
534	782	679
535	784	678
536	785	677
537	787	676
538	789	674
539	790	673
540	792	672
541	793	670
542	795	669
543	796	667
544	799	667
545	801	666
546	802	664
547	803	662
548	805	661
549	806	659
550	807	658
551	809	656
552	810	655
553	812	653
554	813	652
555	815	651
556	817	649
557	818	648
558	819	646
559	821	645
560	822	643
561	823	642
562	825	640
563	826	639
564	827	637
565	829	636
566	831	634
567	832	633
568	833	631
569	835	630
570	836	628
571	838	627
572	839	625
573	840	624
574	842	622
575	843	621
576	844	619
577	847	618
578	848	617
579	850	615
580	851	614
581	852	612
582	854	611
583	855	609
584	857	608
585	858	606
586	860	605
587	862	603
588	863	602
589	864	601
590	866	599
591	867	598
592	869	596
593	870	595
594	872	593
595	873	592
596	874	590
597	877	589
598	878	588
599	880	586
600	881	585
601	882	583
602	884	582
603	887	581
604	889	580
605	890	578
606	891	577
607	893	575
608	894	574
609	895	572
610	897	571
611	898	569
612	900	568
613	901	566
614	902	565
615	904	563
616	905	562
617	906	560
618	908	559
619	910	557
620	911	556
621	912	554
622	914	553
623	915	551
624	917	550
625	918	548
626	920	547
627	921	545
628	922	544
629	924	542
630	926	541
631	927	540
632	929	538
633	930	537
634	932	535
635	933	534
636	934	532
637	936	531
638	937	529
639	939	528
640	940	526
641	942	525
642	943	523
643	945	522
644	946	520
645	947	519
646	949	517
647	950	516
648	952	514
649	953	513
650	955	512
651	957	510
652	958	509
653	960	508
654	961	506
655	963	505
656	964	503
657	966	502
658	967	500
659	969	499
660	970	497
661	972	496
662	974	495
663	975	493
664	978	492
665	979	491
666	981	490
667	983	489
668	986	487
669	987	486
670	991	485
671	992	484
672	994	483
673	996	481
674	997	480
675	999	479
676	1001	477
677	1004	477
678	1007	476
679	1009	474
680	1010	473
681	1012	471
682	1013	470
683	1017	470
684	1019	468
685	1020	467
686	1025	467
687	1027	465
688	1028	464
689	1030	462
690	1032	461
691	1033	460
692	1035	458
693	1037	457
694	1039	456
695	1041	454
696	1042	453
697	1044	451
698	1045	450
699	1048	449
700	1050	448
701	1052	446
702	1054	445
703	1055	443
704	1057	442
705	1058	440
706	1060	439
707	1061	437
708	1064	436
709	1066	435
710	1068	434
711	1069	432
712	1071	431
713	1073	429
714	1074	428
715	1076	426
716	1077	425
717	1079	424
718	1081	422
719	1083	421
720	1085	420
721	1087	418
722	1088	417
723	1090	415
724	1091	414
725	1093	412
726	1094	411
727	1099	410
728	1101	409
729	1103	408
730	1105	406
731	1106	405
732	1108	403
733	1109	402
734	1111	400
735	1113	399
736	1114	397
737	1116	396
738	1119	395
739	1121	393
740	1122	392
741	1124	390
742	1125	389
743	1128	388
744	1130	386
745	1131	385
746	1134	384
747	1136	382
748	1137	381
749	1139	379
750	1141	378
751	1142	376
752	1145	375
753	1147	374
754	1149	373
755	1151	371
756	1152	370
757	1154	368
758	1155	366
759	1157	365
760	1159	364
761	1161	362
762	1162	361
763	1164	359
764	1167	358
765	1168	357
766	1170	355
767	1172	354
768	1174	352
769	1176	351
770	1178	350
771	1181	348
772	1182	347
773	1184	345
774	1185	344
775	1187	342
776	1188	341
777	1190	339
778	1192	338
779	1194	337
780	1198	336
781	1199	334
782	1201	332
783	1202	331
784	1204	329
785	1205	328
786	1207	326
787	1208	325
788	1210	323
789	1212	322
790	1214	320
791	1215	319
792	1217	317
793	1219	316
794	1220	314
795	1222	313
796	1223	311
797	1225	310
798	1227	308
799	1228	307
800	1230	305
801	1232	304
802	1233	302
803	1234	301
804	1236	299
805	1237	297
806	1239	296
807	1240	294
808	1242	293
809	1243	291
810	1246	290
811	1247	288
812	1248	287
813	1250	285
814	1251	284
815	1253	282
816	1254	281
817	1256	279
818	1257	277
819	1259	276
820	1261	274
821	1262	273
822	1264	271
823	1265	270
824	1266	268
825	1268	267
826	1269	265
827	1271	264
828	1272	262
829	1273	260
830	1275	259
831	1276	257
832	1278	256
833	1279	254
834	1281	253
835	1282	251
836	1284	250
837	1285	248
838	1287	247
839	1288	245
840	1290	243
841	1291	242
842	1293	240
843	1295	239
844	1296	237
845	1297	236
846	1299	234
847	1300	233
848	1302	231
849	1303	230
850	1305	228
851	1306	226
852	1308	225
853	1309	223
854	1311	222
855	1312	220
856	1314	219
857	1315	217
858	1317	216
859	1318	214
860	1320	213
861	1321	211
862	1322	210
863	1324	208
864	1325	206
865	1327	205
866	1328	203
867	1331	202
868	1332	200
869	1333	199
870	1335	197
871	1336	196
872	1338	194
873	1341	193
874	1342	191
875	1344	190
876	1345	188
877	1347	187
878	1348	185
879	1350	184
880	1352	182
881	1354	181
882	1355	179
883	1357	178
884	1359	176
885	1360	175
886	1362	173
887	1363	172
888	1365	170
889	1367	168
890	1368	167
891	1370	165
892	1371	164
893	1374	162
894	1375	161
895	1377	159
896	1378	158
897	1380	156
898	1381	155
899	1383	153
900	1384	152
901	1386	150
902	1387	149
903	1389	147
904	1391	146
905	1392	144
906	1394	142
907	1395	141
908	1397	139
909	1398	138
910	1400	136
911	1401	135
912	1403	133
913	1405	132
914	1406	130
915	1408	129
916	1410	127
917	1411	126
918	1413	124
919	1414	122
920	1415	121
921	1417	119
922	1418	118
923	1420	116
924	1422	115
925	1423	113
926	1425	112
927	1426	110
928	1428	109
929	1429	107
930	1431	106
931	1432	104
932	1434	102
933	1435	101
934	1437	99
935	1439	98
936	1440	96
937	1442	95
938	1443	93
939	1444	92
940	1446	90
941	1447	89
942	1449	87
943	1450	86
944	1452	84
945	1454	83
946	1455	81
947	1457	79
948	1458	78
949	1460	76
950	1461	75
951	1463	73
952	1464	72
953	1466	70
954	1467	69
955	1470	67
956	1472	66
957	1473	64
958	1475	63
959	1476	61
960	1477	59
961	1479	58
962	1480	56
963	1481	55
964	1483	53
965	1484	52
966	1486	50
967	1487	49
968	1489	47
969	1490	46
970	1492	44
971	1493	43
972	1495	41
973	1496	39
974	1497	38
975	1499	36
976	1500	35
977	1502	33
978	1503	32
979	1504	30
980	1506	29
981	1507	27
982	1509	26
983	1510	24
984	1511	23
985	1513	21
986	1514	19
987	1516	18
988	1517	16
989	1519	15
990	1520	13
991	1521	12
992	1523	10
993	1524	9
994	1526	7
995	1527	6
996	1528	4
997	1530	3
998	1531	1
999	1533	0
